id,games,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points
3706,55.0,26.1,16.9,8.5,65.7,39.800000000000004,61.599999999999994,111.89999999999999
3707,238.0,177.10000000000002,151.3,426.7,673.4,479.90000000000003,872.8,1519.1999999999998
3708,16.0,3.2,4.8,0.0,20.8,4.8,19.2,41.6
3709,738.0,979.5,512.6,228.8,1894.6,747.5999999999999,1390.5,5747.3
3710,916.0,1028.8000000000002,0.0,0.0,3051.1999999999994,0.0,0.0,8777.6
3711,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3712,122.0,35.6,41.099999999999994,48.5,231.2,70.3,182.1,413.5
3713,4.0,1.2,0.0,0.0,4.0,0.0,0.0,11.2
3714,33.0,6.6000000000000005,6.6000000000000005,3.3000000000000003,49.5,26.400000000000002,46.199999999999996,95.7
3715,330.0,658.4,216.29999999999995,75.1,702.9,533.5,1475.3000000000002,3975.3
3716,22.0,6.3999999999999995,7.8,0.0,26.2,3.5999999999999996,19.2,48.8
3717,82.0,69.6,47.8,15.0,92.8,70.3,124.2,204.8
3718,220.0,830.9,172.6,38.3,392.1,184.8,436.6,1480.5
3719,114.0,242.40000000000003,71.2,6.1000000000000005,115.89999999999999,48.0,88.7,455.09999999999997
3720,448.0,745.1,0.0,0.0,807.6,0.0,0.0,2587.8
3721,602.0,575.4000000000001,0.0,0.0,1661.6999999999998,0.0,0.0,5762.200000000001
3722,22.0,11.0,0.0,0.0,24.200000000000003,6.6,11.0,59.400000000000006
3723,266.0,276.0,118.9,53.300000000000004,578.2,244.4,494.40000000000003,1330.1
3724,17.0,14.0,0.0,0.0,28.6,0.0,0.0,54.0
3725,27.0,21.6,13.5,0.0,32.4,8.1,16.2,83.7
3726,33.0,26.400000000000002,0.0,0.0,75.89999999999999,0.0,0.0,217.79999999999998
3727,520.0,430.5,159.1,123.69999999999999,817.2,277.29999999999995,762.1000000000001,1596.8000000000002
3728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3729,49.0,8.8,15.1,5.300000000000001,56.8,50.50000000000001,89.6,224.60000000000002
3730,9.0,9.9,0.0,0.0,11.700000000000001,0.0,0.0,9.9
